band,album,date,genre,country,real_date,count
Sypsis,"Playground of the Dead","June 15th, 2015 ","Technical Thrash Metal",Greece,1/1/2015,1
Existence,"Demo 94",1994,"Thrash/Groove Metal",Poland,1/1/1994,1
Ommadon,V,"July 16th, 2014 ","Drone/Doom Metal","United Kingdom",1/1/2014,1
"Eye Rhyme",Soul,1998,"Progressive Rock/Metal",Canada,1/1/1998,1
Kogai,"The Great Deformation of War",2006,"Progressive Death Metal",Russia,1/1/2006,1
Deathstorm,"Blood Beneath the Crypts","May 27th, 2016 ","Thrash Metal",Austria,1/1/2016,1
Killermia,"Demo I","August 1st, 2018 ","Progressive Black/Death Metal",Hungary,1/1/2018,1
Stonehead,"Dead Leaf","October 10th, 2010 ","Stoner/Doom Metal",Germany,1/1/2010,1
Desafio,Desafio,1996,"Heavy Metal",Spain,1/1/1996,1
Abysso,"Unknown Truths","March 20th, 2017 ","Black Metal",China,1/1/2017,1
Stigma,Epitaph,1993,"Death/Thrash Metal",Greece,1/1/1993,1
"Korruption Found","Déus del genocidi caníbal","January 31st, 2013 ","Melodic Death/Black Metal",Spain,1/1/2013,1
"Dol Amroth","I Am the Enemy",2003,"Black Metal (early); Avant-garde Folk Rock (later)",Greece,1/1/2003,1
"The Abandonment","The Abandonment",2005,Deathcore/Grindcore,Australia,1/1/2005,1
"Resurrección","Afrontar o rendirse","June 12th, 2009 ","Melodic Heavy Metal",Spain,1/1/2009,1
Nightwish,"Century Child","June 24th, 2002 ","Symphonic Power Metal (early); Symphonic Metal (later)",Finland,1/1/2002,1
Wintercold,"Lost Wolf","January 2012","Doom Metal (early); Atmospheric Black/Doom Metal (later)",Sweden,1/1/2012,1
"Godless Angel","Dying Dead Undead Unholy","May 24th, 2014 ","Groove/Death Metal","United States",1/1/2014,1
"Unholy Land","The Fall of the Chosen Star",2003,"Black Metal",Italy,1/1/2003,1
Virtigo,Vertigo,2004,"Industrial/Black Metal",Canada,1/1/2004,1
Liberanimus,"В поисках себя","February 2nd, 2007 ","Melodic Death/Black Metal",Ukraine,1/1/2007,1
R.E.X.,"Reborn Craft",2007,"Melodic Death Metal",Finland,1/1/2007,1
"Loss of Reverence","Loss of Reverence",2007,"Black Metal","United States",1/1/2007,1
Troll,"Army of Lost Souls",2007,"Heavy Metal","United States",1/1/2007,1
"Bowel Fetus","Bloodsoaked Doomageddon",2006,Goregrind,Australia,1/1/2006,1
Stretta,Gofuckyourself,1998,"Thrash Metal",Germany,1/1/1998,1
Samas,"My Darkness","August 2001","Black Metal (early), Avant-garde Black Metal (later)",Germany,1/1/2001,1
Egocentrash,"Demo EP September 2010","September 3rd, 2010 ","Grindcore/Death Metal",Germany,1/1/2010,1
"Fragment of Euthanasia","Sentuhan Jiwa",2004,"Gothic Metal",Indonesia,1/1/2004,1
Atram,"Demo 2011","April 23rd, 2011 ","Heavy Metal",Canada,1/1/2011,1
"King Leoric",Thunderforce,"July 13th, 2005 ","Power/Heavy Metal",Germany,1/1/2005,1
Action!,"Action! Kit 2","November 21st, 1984 ","Heavy Metal",Japan,1/1/1984,1
"Leval Blessing",untitled,"November 1999","Technical Death Metal/Deathcore","United States",1/1/1999,1
"Mental Demise","Final Step to Future Madness","February 2009","Brutal Death Metal, Grindcore",Ukraine,1/1/2009,1
"Kneel to Zod",Sorrow,2003,"Thrash/Groove Metal","United States",1/1/2003,1
Immer,"Death March","July 10th, 2010 ","Death Metal, Death 'n' Roll",Czechia,1/1/2010,1
"David Hannah","Long Road Home","October 26th, 2017 ","Heavy/Power Metal with Electronic influences","United Kingdom",1/1/2017,1
Hordagaard,Djeveldyrkar,"January 1st, 2007 ","Black Metal",Norway,1/1/2007,1
Dieblod,"Demo I","April 7th, 2017 ","Black Metal",Australia,1/1/2017,1
"Dark Prodigy","Smashing the Face of Oblivion","August 2004","Black/Death Metal",Netherlands,1/1/2004,1
"After the Bombs","Bloody Aftermath / Black Horse of Famine","July 2007","Crust/Thrash Metal",Canada,1/1/2007,1
Soundstrike,"Machiavelli's Art",2008,"Crossover/Thrash Metal",Italy,1/1/2008,1
Gutted,Disease,1993,"Death Metal","United States",1/1/1993,1
"Angels in Exile",Retribution,2003,"Thrash Metal (early); Doom/Gothic Metal (later)","United States",1/1/2003,1
"Hollow Sign","Słuchać głośno!","November 20th, 2006 ","Heavy/Power Metal",Poland,1/1/2006,1
"Kommando 88","Second Blood",2005,"Black Metal",Czechia,1/1/2005,1
Abortion,"Impurity... Perversity... Love??","November 21st, 1992 ","Death Metal/Crust/Grindcore",Slovakia,1/1/1992,1
"Over Power","Power Authority and Bloodshed","December 20th, 2013 ",Grindcore,Indonesia,1/1/2013,1
Necroplasma,"Demo 2001","November 12th, 2001 ","Black Metal",Sweden,1/1/2001,1
Sarcoma,"Into the Grotesque",2002,"Death Metal/Grindcore",Mexico,1/1/2002,1
Horrocks,"In Past of Future",1993,"Power/Speed Metal",Czechia,1/1/1993,1
Dunkelkrist,"...D'un passé tragique","March 2007","Black Metal",France,1/1/2007,1
Detritus,Erosion,"October 26th, 2013 ","Doom Metal","United States",1/1/2013,1
Mangled,"Devoted to Kill","April 18th, 2020 ","Death Metal/Grindcore","United States",1/1/2020,1
Serpentagram,"The Kingdom of Samael",2006,"Black Metal",Canada,1/1/2006,1
"Kill the Stigmatic","The Thin Line Between Madness and Brilliance","March 2nd, 2010 ","Death Metal/Metalcore","United States",1/1/2010,1
Tombcrusher,"Blackened Mass of the Third Holocaust of Evil",1993,"Death/Black Metal",Brunei,1/1/1993,1
"The Altar","Enter the Occult",1995,"Heavy/Doom Metal","United States",1/1/1995,1
Mortifier,"Tales of Torture","July 2009","Thrash Metal","United States",1/1/2009,1
Ultratumba,"Volumen Mortal","December 16th, 2017 ","Death Metal",Spain,1/1/2017,1
Demonios,"Laboratory of Death","November 27th, 2010 ","Death Metal",Chile,1/1/2010,1
Doxophobia,Halebites,"April 14th, 2017 ",Various,"United Kingdom",1/1/2017,1
Unscarred,Unscarred,2007,"Thrash Metal",Brazil,1/1/2007,1
"Теория Света","Застывшие шаги",2005,"Progressive Metal",Russia,1/1/2005,1
"Physiology of Darkness","Lunar Trinity","February 14th, 2010 ","Black Metal/Ambient",France,1/1/2010,1
Akilkarsa,"Death for Us All","July 7th, 2015 ","Black/Death Metal",Greece,1/1/2015,1
Pictured,Deathbearer,"November 10th, 2017 ","Melodic Heavy/Thrash/Death Metal",France,1/1/2017,1
Scavenger,Goattrend,2001,"Black/Death/Thrash Metal",Estonia,1/1/2001,1
"Glory Bell's Band","Century Rendezvous",1984,"Heavy Metal",Sweden,1/1/1984,1
"Everything Falls Dark",Demo,2005,"Black/Death Metal, Metalcore","United States",1/1/2005,1
"I'll Eat Your Face","Fat Box Life Destroyer","May 10th, 2006 ","Progressive Death/Thrash Metal/Grindcore",Ireland,1/1/2006,1
Mania,"Shadows And Monsters","May 2005","Thrash Metal",Italy,1/1/2005,1
TrollWar,"Oath of the Storm","November 16th, 2018 ","Folk/Death Metal",Canada,1/1/2018,1
Urgrund,"Deathcult Emissary",2010,"Black/Thrash Metal",Australia,1/1/2010,1
Luke,"Lake of Mirror","April 24th, 2011 ","Atmospheric Folk/Post-Metal",China,1/1/2011,1
4saken1,"Haunting the Nation","January 2003","Gothic Metal","United States",1/1/2003,1
Geryon,Geryon,"November 21st, 2013 ","Avant-garde Death Metal","United States",1/1/2013,1
"Arcano Arconte","Glorificatio Mortem","May 30th, 2020 ","Black Metal",Brazil,1/1/2020,1
"Jeunesse Epuration","Euphoric Hypnosis","April 15th, 2020 ","Atmospheric Black Metal",Russia,1/1/2020,1
Shimera,Bloodpact,2001,"Groove Metal","United States",1/1/2001,1
Serpentfyre,"Bestial Mysticism","February 15th, 2015 ","Black Metal",Finland,1/1/2015,1
Clamans,"Cries Of Darkness",2012,"Black Metal",Czechia,1/1/2012,1
"Shadows in the Crypt","Fanatical Promotional","September 15th, 2012 ","Black Metal","United States",1/1/2012,1
Bloodphemy,"In Cold Blood","April 12th, 2019 ","Death Metal",Netherlands,1/1/2019,1
"Steve Do Kyoon Kim","천사가된 너에게",1994,"Heavy Metal/Hard Rock, Folk","Korea, South",1/1/1994,1
Zurisadai,"Symphony of the Souls",2002,"Death/Black Metal",Brazil,1/1/2002,1
"50 Caliber","Demo 2009",2009,"Death Metal/Hardcore/Metalcore","United Kingdom",1/1/2009,1
Tomhet,"Astral Isolation","January 13th, 2011 ","Black Metal/Ambient",Canada,1/1/2011,1
Shock,"Burning a Hole Through the Heavens",1987,"Heavy/Power Metal",Canada,1/1/1987,1
Goblet,"On Tap","October 17th, 2015 ","Progressive Thrash/Death Metal","United States",1/1/2015,1
Armadura,"Regálame las llaves de tu corazón",2004,"Folk Metal",Mexico,1/1/2004,1
Tortured,"The Uncreation",2005,"Brutal Death Metal","United Kingdom",1/1/2005,1
Eraserhead,Holdout,"December 15th, 2017 ","Death Metal",Germany,1/1/2017,1
"Atomic Sin","Atomic Sin",2016,"Black/Speed/Thrash Metal","United States",1/1/2016,1
"At Dawn",Rapture,"June 24th, 2009 ","Melodic Death/Thrash Metal/Metalcore","United States",1/1/2009,1
"Lef de Bard","Zrání",1992,"Heavy Metal",Czechia,1/1/1992,1
A.R.G.,Pesticide,"December 1988","Thrash Metal",Finland,1/1/1988,1
"Magenta Harvest","Apparition of Ending","February 12th, 2012 ","Death Metal",Finland,1/1/2012,1
"Desert Rain",Affinity,"September 2006","Power Metal",Germany,1/1/2006,1
SoulHealer,"Bear the Cross","October 17th, 2014 ","Melodic Heavy Metal",Finland,1/1/2014,1
"Suicidal Tendencies","Demo 1",1982,"Thrash Metal/Crossover, Hardcore Punk","United States",1/1/1982,1
"Vampire Squid","Nautilus World","September 3rd, 2014 ","Technical Death Metal/Mathcore","United States",1/1/2014,1
Livercage,"Strung Up and Left to Rot","August 12th, 2007 ","Experimental Black/Electronic Metal",Canada,1/1/2007,1
Encumber,"Hammer's Live",1997,"Death/Thrash Metal",Russia,1/1/1997,1
"In Silent Agony",Scandalous,"January 31st, 2020 ","Death Metal","United States",1/1/2020,1
"Kissin' Dynamite",Ecstasy,"July 6th, 2018 ","Heavy Metal",Germany,1/1/2018,1
Defender,"Promo 2000",2000,"Heavy Metal",Hungary,1/1/2000,1
Squadron,"Our Time Will Come",1990,"Oi!/RAC (early), Grunge (mid), Thrash/Death/Groove Metal (later)","United Kingdom",1/1/1990,1
"Necrosadistic Goat Torture","Armageddon Shall Come","March 6th, 2012 ","Death/Black Metal","United Kingdom",1/1/2012,1
"Inhumación","Eccentric Desires","December 5th, 2017 ","Brutal Death Metal",Colombia,1/1/2017,1
"Damnation Army","Towards Damnation",2003,"Black/Thrash Metal",Sweden,1/1/2003,1
Akela,"Fővárosi emberkert","October 1996","Power/Thrash Metal",Hungary,1/1/1996,1
Sunvher,Sunvher,"July 31st, 2020 ","Atmospheric/Post-Black Metal",Chile,1/1/2020,1
"Nuclear Detonation","Living Dead, Sons of the Lobotomy","March 10th, 2015 ","Thrash Metal",Italy,1/1/2015,1
"The Wounded","In Silence","December 1st, 2018 ","Doom/Gothic Metal",Netherlands,1/1/2018,1
"The Massacre Must Begin","Sentimientos Inminentes de Muerte",2008,"Death Metal/Grindcore/Metalcore",Mexico,1/1/2008,1
"Ancient Moon","Benedictus Diabolica, Gloria Patri","September 20th, 2019 ","Black Metal/Ambient",Switzerland,1/1/2019,1
"Bloodsoaked Necrovoid","Demo 1","July 24th, 2018 ","Death/Doom Metal","Costa Rica",1/1/2018,1
"Autopsy on the Horizon","Precision Death","April 21st, 2012 ",Grindcore,"United States",1/1/2012,1
Abantesma,"The Plague Against Them","December 10th, 2005 ","Death Metal",Brazil,1/1/2005,1
"Von Leufel","Symbols of the Antichrist","March 12th, 2016 ","Symphonic Black Metal",Argentina,1/1/2016,1
Astarium,"Invasion to Forbidden","January 2011","Symphonic Black Metal, Ambient",Russia,1/1/2011,1
Realm,"Towards the Penetralia","May 2001","Black/Death Metal",Finland,1/1/2001,1
Antigama,Depressant,"November 9th, 2017 ","Death Metal/Grindcore",Poland,1/1/2017,1
"Empress Crown","Bet with Time",2006,"Power/Speed Metal",Greece,1/1/2006,1
Blindaje,"La ruta","July 2010","Heavy Metal",Venezuela,1/1/2010,1
"Take to the Sky",Awakening,"January 2009","Blackened Symphonic Death Metal","United States",1/1/2009,1
"Tears of Mankind",Silence,2003,"Melodic Gothic/Doom Metal",Russia,1/1/2003,1
"Stygma IV","Demo 1996",1997,"Power Metal",Austria,1/1/1997,1
"Space Ghoul","Space Ghoul","November 20th, 2018 ","Death Metal","United States",1/1/2018,1
Undying,"At History's End","August 12th, 2003 ","Melodic Death Metal/Metalcore","United States",1/1/2003,1
"Êxul","The Unveil of the Darkest Arts","March 11th, 2003 ","Black Metal",Portugal,1/1/2003,1
"Oculus Tempestatis","Storm of Revolution","June 29th, 2012 ","Melodic Death Metal",Germany,1/1/2012,1
Nerumia,"Land of the Black",2003,"Melodic Death/Black Metal",Switzerland,1/1/2003,1
Comatose,"...Pure Evil & Blasphemy","July 20th, 2004 ","Death Metal",Philippines,1/1/2004,1
"Adrian Raso","Adrian Raso",2001,"Progressive Metal/Shred (early), Acoustic/Folk (later)",Canada,1/1/2001,1
Andragon,"Del interior","November 9th, 2016 ","Groove/Nu-Metal (early); Metalcore (later)",Chile,1/1/2016,1
IamGod,"Death Rides a Horse","July 2nd, 2019 ","Doom Metal",Germany,1/1/2019,1
Warlock,"Demo 1986",1986,"Heavy/Thrash Metal","United States",1/1/1986,1
Witchrist,"Ancient Tombs","July 2008","Black/Death/Doom Metal","New Zealand",1/1/2008,1
"Stone Soul Foundation","...3 to Get Ready",2004,"Heavy/Doom Metal/Rock","United States",1/1/2004,1
Overdeth,"King Arthur Is Dead",1994,"Power Metal",Sweden,1/1/1994,1
VirginBlood,"Rape. Repent. Repeat.","July 2003","Black Metal",Canada,1/1/2003,1
"Spiritual Holocaust","Kingdom of Cadavers","October 7th, 2013 ","Death Metal",Finland,1/1/2013,1
"Piñata Arctica","Funeral Party","November 19th, 2017 ","Doom/Stoner Metal/Post-Punk",Croatia,1/1/2017,1
Aonikenk,"A mi Argentina",2005,"Speed Metal",Argentina,1/1/2005,1
Soulforge,"Fields of Decay","July 2011","Heavy Metal",Australia,1/1/2011,1
Psygnosis,"Human Be[ing]","March 26th, 2014 ","Industrial/Progressive Death Metal",France,1/1/2014,1
"Kraljevski Apartman","Igre bez pravila","October 2012","Heavy Metal, Hard Rock",Serbia,1/1/2012,1
"Headless Beast","Phantom Fury","March 29th, 2019 ","Heavy Metal",Germany,1/1/2019,1
Ophicvs,"Azrever ne Alemamam","February 28th, 2014 ","Black/Heavy Metal","United States",1/1/2014,1
Necrodaemon,"Demo 1994",1994,"Death Metal",Argentina,1/1/1994,1
Sofisma,Inwards,1994,"Thrash Metal",Italy,1/1/1994,1
L.I.G.O.,"No One Safe","November 2004","Death Metal",Russia,1/1/2004,1
"First Fight Down","Demo 2015","April 18th, 2015 ",Metalcore,Netherlands,1/1/2015,1
Disakrin,Disakrin.Mort,"June 18th, 2013 ","Black Metal",France,1/1/2013,1
"Last House on the Left","The Road Leads to Nowhere","November 4th, 2006 ",Deathcore,"United States",1/1/2006,1
"Awakening the Atoning Death","Damn Resurrection",2013,"Melodic Death Metal/Deathcore",Colombia,1/1/2013,1
Masterhead,"Waitting Terror","April 13th, 2017 ","Thrash Metal",Brazil,1/1/2017,1
"Borgo Pass","The Sludge Remains the Same","May 5th, 2017 ","Southern/Sludge Metal","United States",1/1/2017,1
"Nuclear Magick","Mutual Retaliation","May 18th, 2012 ","Black/Death/Doom Metal",Germany,1/1/2012,1
"Internal Harvest","Exit Signs","June 8th, 2011 ","Experimental Post-Black/Doom Metal",Australia,1/1/2011,1
"Mortal Hate","Demo 2009",2009,"Death Metal",Brazil,1/1/2009,1
Crucifer,"Sickly Divine",1996,"Death/Thrash Metal","United States",1/1/1996,1
"Vain Rachell","Venal Vagaries","July 11th, 2005 ","Heavy/Power Metal","United States",1/1/2005,1
"One Last Sin","Visions of Hope","August 17th, 1997 ","Death Metal/Hardcore","United States",1/1/1997,1
"Qu Kangen Nih","Antique dan Ketaian Yang Haqiqi","August 17th, 2017 ","Brutal Death Metal",Indonesia,1/1/2017,1
12:06,"12:06 AM","March 15th, 2003 ","Heavy/Power Metal","United States",1/1/2003,1
"Dawn of Ashes","Farewell to the Flesh","February 14th, 2012 ","Industrial/EBM, Industrial/Melodic Black Metal","United States",1/1/2012,1
"Frontal Assault","Assisted Beliefs","May 15th, 2020 ","Thrash/Death Metal","United States",1/1/2020,1
Hovno,"Prt nebo smrd",1994,"Hardcore/Thrash Metal",Czechia,1/1/1994,1
"Zi Factor",Metastatic,2013,"Heavy Metal/Metalcore",Indonesia,1/1/2013,1
"Constant Paranoia","Bloodwritten Rehearsals",2001,"Death Metal",Netherlands,1/1/2001,1
"Poder Oculto","Hacia la libertad","April 26th, 2007 ","Heavy Metal",Mexico,1/1/2007,1
"Mortal Sin","An Absence of Faith",2007,"Thrash Metal",Australia,1/1/2007,1
"Children of Tragedy","An Orchestration in Hysteria",2005,"Gothic/Symphonic Groove Metal",Canada,1/1/2005,1
"Fetus Fertilizer","120 Days of Sodom","April 2nd, 2017 ","Brutal Death Metal",Australia,1/1/2017,1
Buttvag,"Morbid Timotei Madness",2008,"Death Metal/Grindcore","United States",1/1/2008,1
"Caustic Death","Caustic Death",1991,"Death/Thrash Metal","United States",1/1/1991,1
"Enter Self",Decomposition,1995,"Death Metal","United States",1/1/1995,1
Spitkiss,"Violence Is Golden",1998,"Industrial/Groove Metal","United States",1/1/1998,1
"Fairytale Abuse","Fairytale Abuse",1998,"Melodic Black Metal",Denmark,1/1/1998,1
Disaster,"Decline of Humanity","October 2004","Death Metal",France,1/1/2004,1
Paraxism,"Promo 93",1993,"Death Metal",Finland,1/1/1993,1
"System of Pain","Demo 1995",1995,"Groove Metal","United States",1/1/1995,1
Autocracy,Awakening,"April 21st, 2018 ","Melodic Death Metal","United Kingdom",1/1/2018,1
Slugs,Rotten,2003,"Death/Thrash Metal",Denmark,1/1/2003,1
"Filthy Jim","Ride with Death",2004,"Stoner/Heavy Metal/Hard Rock","United States",1/1/2004,1
"My Sisyphean","Our Great Divider EP","August 6th, 2008 ","Melodic Death Metal/Metalcore","United States",1/1/2008,1
Deathchamber,"Demo '86",1986,"Thrash/Death Metal","United Kingdom",1/1/1986,1
S.U.P.,Chronophobia,"September 20th, 1999 ","Avant-garde Metal",France,1/1/1999,1
Vinterriket,Horizontmelancholie,"May 2nd, 2009 ","Dark Ambient/Black Metal",Germany,1/1/2009,1
"Lost Dimension","A New Era",2015,"Progressive Metal",Italy,1/1/2015,1
Thraxas!,"Slave Wages","May 9th, 2018 ","Thrash/Groove Metal",Australia,1/1/2018,1
"Gorilla Pulp","Prey on Your Mind","March 21st, 2017 ","Stoner Metal/Rock",Italy,1/1/2017,1
"Tim Draksler","Back to the Roots","April 27th, 2017 ","Progressive Thrash Metal",Slovenia,1/1/2017,1
"Face the Flames","Desert Witch","February 10th, 2017 ","Stoner/Doom Metal","United States",1/1/2017,1
"Corona Obscura","Corona Obscura",1996,"Death/Thrash Metal",Netherlands,1/1/1996,1
"West of Hell","Spiral Empire","May 8th, 2012 ","Heavy/Power/Thrash Metal","New Zealand",1/1/2012,1
"Ares Kingdom","The Dust of Ages","October 1st, 2018 ","Thrash/Death Metal","United States",1/1/2018,1
Aosoth,Aosoth,"May 29th, 2008 ","Black Metal",France,1/1/2008,1
Arakara,"Burial Ground","April 8th, 2016 ","Thrash Metal","United States",1/1/2016,1
Arcanus,"Arcanus - 2007 Promo","May 2007","Black Metal",Canada,1/1/2007,1
Horna,"Kuoleman kirjo","December 8th, 2020 ","Black Metal",Finland,1/1/2020,1
"New Blood","No seas uno más",2016,"Thrash/Groove Metal",Argentina,1/1/2016,1
Traum,"Mír","March 7th, 2012 ","Black Metal",Switzerland,1/1/2012,1
Dienecia,III,"November 17th, 2005 ","Heavy Metal",Finland,1/1/2005,1
"Embalming Theatre","Hand Grenade Baptism","November 16th, 2015 ","Goregrind/Death Metal",Switzerland,1/1/2015,1
"Beel Jak","Tales from Zydofatslobicon",1993,"Sludge Metal/Hardcore","United States",1/1/1993,1
"Leeds Point","The Hooded Ones","December 6th, 2014 ","Heavy/Stoner Metal/Rock","United States",1/1/2014,1
"Svart Crown",Abreaction,"March 3rd, 2017 ","Black/Death Metal",France,1/1/2017,1
Tearlake,.Tear.Lake.,2005,"Atmospheric Black Metal",Croatia,1/1/2005,1
Ikhor,Payback,"June 2004","Heavy/Power Metal",Venezuela,1/1/2004,1
Atsphear,"Old New Millenium","November 5th, 2009 ","Melodic Death Metal",Spain,1/1/2009,1
"Sex Intruders","Greatest Tits Vol. 1",2006,"Heavy Metal",Spain,1/1/2006,1
Nicrov,"Lost Chapter (Demo)","January 2019","Death Metal/Death 'n' Roll",Indonesia,1/1/2019,1
"Kingdom Gone",Herbstblut,"July 17th, 2009 ","Epic Folk/Death Metal",Germany,1/1/2009,1
"Seven Iron Kicks","Blood and Sand","February 3rd, 2016 ","Groove/Thrash Metal",Russia,1/1/2016,1
Einsamkeit,Todgedanke,"February 15th, 2010 ","Black Metal",Germany,1/1/2010,1
"Chivo Negro","Volume Death","October 13th, 2017 ","Psychedelic Sludge/Doom Metal",Mexico,1/1/2017,1
"Otoño","Ghosts of Smoke",2012,"Melodic Death/Thrash/Black Metal","United States",1/1/2012,1
Eosforia,Astraeus,"April 13th, 2016 ","Atmospheric Doom/Sludge Metal",Greece,1/1/2016,1
Project-Brain-Storm,"Live at Frankenthal-2006'",2006,"Speed/Thrash/Heavy Metal",Germany,1/1/2006,1
Thorax,"Crusaders of Steel",1987,"Heavy Metal",Belgium,1/1/1987,1
Gnostic,"Engineering the Rule","May 25th, 2009 ","Technical Death/Thrash Metal","United States",1/1/2009,1
Darkestrah,"Pagan Black Act","December 1999","Epic Black Metal with Folk influences",Kyrgyzstan,1/1/1999,1
"Sick to the Back Teeth","Thin Veneer","October 6th, 2020 ",Various,"United States",1/1/2020,1
"The Organization","The O",1992,"Heavy Metal/Hard Rock","United States",1/1/1992,1
"Aeon Winds",Stormveiled,"July 9th, 2019 ","Atmospheric Black Metal/Dark Ambient",Slovakia,1/1/2019,1
Granatus,Whitehill,2015,"Raw Black Metal",Brazil,1/1/2015,1
Maeror,Maeror,"July 12th, 2020 ","Atmospheric Black Metal",Germany,1/1/2020,1
Massensterben,Wehrwolf,"December 25th, 2010 ","Black Metal",Germany,1/1/2010,1
"Bubonic Cult","Blackened Halo of Pestilence","August 7th, 2016 ","Raw Black Metal",Brazil,1/1/2016,1
Dygitals,Dynamite,"May 5th, 2015 ","Heavy Metal",France,1/1/2015,1
Nordheim,"Lost in the North","November 8th, 2010 ","Melodic Power/Death/Folk Metal",Canada,1/1/2010,1
"Amberian Dawn","End of Eden","October 20th, 2010 ","Neoclassical Power Metal, Rock",Finland,1/1/2010,1
Phenomenecronomicon,"Taste Testicles",2008,Metalcore/Grindcore,"United States",1/1/2008,1
"Cryptic Abyss","Into the Abyss","March 21st, 2014 ","Death/Groove Metal",Australia,1/1/2014,1
"Glock 22","Síla v nás",2004,"Thrash Metal",Czechia,1/1/2004,1
Nicht,"Part 1 Catalepsy Sinks",2010,"Doom/Gothic Metal",France,1/1/2010,1
"Anima Tempo","Alas de Cristal",2010,"Progressive Metal",Mexico,1/1/2010,1
"Tower of Babel","Lake of Fire","July 20th, 2017 ","Heavy/Power Metal","United States",1/1/2017,1
Riverside,"Rapid Eye Movement","September 24th, 2007 ","Progressive Rock/Metal",Poland,1/1/2007,1
Entrails,"Human Decay","November 2009","Death Metal",Sweden,1/1/2009,1
Morcegos,Vencer,"June 25th, 1991 ","Death Metal",Brazil,1/1/1991,1
"死","Depressive Suicidal Stoner Doom","January 31st, 2020 ","Doom/Stoner Metal","United States",1/1/2020,1
"Jamie Saft",Ticonderoga,"September 2015","Experimental Metal, Various","United States",1/1/2015,1
"Burden of Ymir","The Third Half","April 7th, 2020 ","Black/Folk Metal",Canada,1/1/2020,1
EFYD,"Evil Istinct","December 1st, 2017 ","Death Metal/Grindcore",Italy,1/1/2017,1
Clandestine,"Samotny jednorożec",1996,"Melodic Death Metal",Poland,1/1/1996,1
MaleDivine,"Are You Afraid to Die?",1998,"Death Metal",Canada,1/1/1998,1
"Jet Liar","Anak Mentari",1997,"Heavy Metal",Indonesia,1/1/1997,1
Arda,"Северный крест","January 5th, 2017 ","Power Metal",Russia,1/1/2017,1
"Steel Control","Bang Your Head","March 2010","Thrash Metal",Italy,1/1/2010,1
Bloodclot!,"Burn Babylon Burn!",2008,"Groove Metal/Metalcore","United States",1/1/2008,1
"OD'SAHE","Philosophy ov Selfdestruction","October 16th, 2008 ","Death/Black Metal",Russia,1/1/2008,1
"Parity Boot","Into Nothing","May 22nd, 2009 ","Industrial Metal",Germany,1/1/2009,1
Atronador,"Atronando mentes",2008,"Thrash Metal",Argentina,1/1/2008,1
Coprophagia,"Promo 2018","February 8th, 2018 ","Brutal Death Metal","United Kingdom",1/1/2018,1
Shtil,"Line of Fire","April 28th, 2013 ","Black Metal",Russia,1/1/2013,1
"Bärglar",AnarKism,"December 15th, 2016 ","Black/Heavy Metal",Japan,1/1/2016,1
Persevere,"Wait Me","February 10th, 2016 ","Symphonic/Progressive Metal",Argentina,1/1/2016,1
"Blackfield Asylum","2012 Demo",2013,"Progressive/Melodic Death Metal","United States",1/1/2013,1
Vargagrav,Murkness,2006,"Experimental Black/Death Metal",Sweden,1/1/2006,1
"Savage Rage","Savage Rage",1992,"Power Metal","United States",1/1/1992,1
Knightmare,"Damned & Forsaken","March 15th, 2012 ","Power/Heavy Metal","United States",1/1/2012,1
Gothic,"Destiny of Blood",2002,"Doom/Death Metal (early); Gothic/Doom Metal (later)",Romania,1/1/2002,1
"Sempiternal Opprobrium","Intertwining Scornful Entities","July 9th, 2020 ","Death/Doom Metal","Costa Rica",1/1/2020,1
"Cunt Cuntly","A Cuntly Conundrum","June 1st, 2013 ","Progressive Deathcore","United States",1/1/2013,1
"Cannibal Giant","Kill and Destroy",2005,"Brutal Death Metal",Italy,1/1/2005,1
Morrah,"Promo'04","April 24th, 2004 ","Death Metal",Russia,1/1/2004,1
"Comunidad del Metal","Clamando por mi tierra",2006,"Melodic Heavy Metal, Hard Rock",Mexico,1/1/2006,1
"Blood Stain Child","Fruity Beats 3","December 2008","Melodic Death Metal (early); Melodic Death Metal/Metalcore/Trance (later)",Japan,1/1/2008,1
Countess,"The Wrath of Satan's Whore","March 1995","Black Metal",Netherlands,1/1/1995,1
Solitaire,Predatress,"December 10th, 2008 ","Speed/Thrash Metal",Finland,1/1/2008,1
"Murderous Instinct",Gringa,2010,"Death/Thrash Metal","United Kingdom",1/1/2010,1
Wolfshade,"...Eats the World Alive!",1999,"Death Metal/Grindcore",Germany,1/1/1999,1
Downlord,Demo,2005,"Death Metal",Denmark,1/1/2005,1
"Kraków",Minus,"August 31st, 2018 ","Stoner Metal",Norway,1/1/2018,1
Gloam,Vanquished,"June 28th, 2014 ","Black/Doom Metal","United States",1/1/2014,1
Incassum,"In Vain",2008,"Melodic Death/Gothic Metal","United Kingdom",1/1/2008,1
Tearstain,Residue...,"December 31st, 2015 ","Black Metal","United States",1/1/2015,1
Stallion,"Mounting the World","September 25th, 2013 ","Heavy/Speed Metal",Germany,1/1/2013,1
Fleshpress,Fleshpress,2002,"Blackened Stoner/Sludge/Doom Metal",Finland,1/1/2002,1
"Tyrant's Kall",Dagon,"May 5th, 2012 ","Death/Doom/Heavy Metal",Belgium,1/1/2012,1
Jailor,"Religious Unpurge",2001,"Thrash Metal",Brazil,1/1/2001,1
